נתוני אוכלוסייה כלליים של גוש עציון נכון לתאריך 10/12/2025,,,,,,,
,,סטטיסטיקה,,,,,
נוכחי:,נוב-25,,,קודם:,יול-25,,
,,,,,,,
נושא,נוכחי כולל,נוכחי זכר,,נוכחי נקבה,קודם כולל,קודם זכר,קודם נקבה
מספר התושבים הרשומים במערכת,53134,27313,,25820,52169,26828,25340
מספר התושבים הפעילים,30282,15504,,14778,29783,15246,14537
מספר תושבים רווקים,17732,9340,,8392,17459,9188,8271
מספר תושבים נשואים,11346,5696,,5650,11126,5594,5532
מספר תושבים גרושים,933,408,,525,924,402,522
מספר תושבים אלמנים,270,59,,211,273,61,212
מספר תושבים עולים,4203,2113,,2090,4140,2081,2059
"מספר תושבים עולים מכל ברה""מ",1069,525,,544,1066,521,545
מספר תושבים עולים מאתיופיה,18,10,,8,16,8,8
"מספר תושבים עולים מארה""ב",1550,790,,760,1528,782,746
מספר תושבים עולים מדרום אפריקה,68,36,,32,66,35,31
מספר תושבים עולים מארצות אחרות,1498,752,,746,1464,735,729
מגיל 0 עד גיל 5,4320,2203,,2117,4221,2160,2061
מגיל 6 עד גיל 12,5135,2700,,2435,5046,2642,2404
מגיל 13 עד גיל 17,3492,1779,,1713,3458,1748,1710
מגיל 18 עד גיל 21,2289,1177,,1112,2237,1162,1075
מגיל 22 עד גיל 24,1393,732,,661,1374,713,661
מגיל 25 עד גיל 29,2000,1018,,982,1973,1017,956
מגיל 30 עד גיל 34,1738,874,,864,1735,869,866
מגיל 35 עד גיל 39,1785,868,,917,1762,850,912
מגיל 40 עד גיל 44,1812,901,,911,1796,908,888
מגיל 45 עד גיל 49,1493,770,,723,1436,735,701
מגיל 50 עד גיל 54,1349,672,,677,1326,663,663
מגיל 55 עד גיל 59,982,537,,445,963,526,437
מגיל 60 עד גיל 64,681,349,,332,684,348,336
מגיל 65 עד גיל 69,642,339,,303,630,338,292
מגיל 70 עד גיל 74,489,256,,233,481,246,235
מגיל 75 עד גיל 120,682,329,,353,661,321,340
,,,,,,,
,,,,,,,
,,,,,,,
הנתונים לפי חלוקה כללית לוועדים מקומיים וליישובים צמודים,,,,,,,
אלון שבות (כולל גבעות),3558,,,,,,
אלעזר,2900,,,,,,
מיצד-אספר (כולל פני קדם),1588,,,,,,
בת עין (כולל מרחבי דוד),2068,,,,,,
הר גילה (כולל בר כוכבא),1672,,,,,,
כפר עציון,1104,,,,,,
כרמי צור,1114,,,,,,
מגדל עוז,427,,,,,,
מעלה עמוס (כולל איבי הנחל),1535,,,,,,
נווה דניאל (כולל שדה בעז),2884,,,,,,
"נוקדים (כולל כפר אלדד, שדה בר ומעלה רחבעם)",3666,,,,,,
קידר (כולל קידר דרום),1627,,,,,,
ראש צורים,1157,,,,,,
תקוע,4982,,,,,,
